id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1356025793181347848,1356017621649383426,2021-02-01 01:45:17 EET,2021-02-01,01:45:17,+0200,559097719,ottawawebpro,OttawaWebPro,,"@S3Partners Oh one more thought, alot of shares will be bought up tomorrow because of exercised option, so it's in their interest to spoof data.  I would side with your report if Friday volume was alot higher but it wasnt, so that's a peer review red flag.",en,[],[],[],2,0,54,[],[],https://twitter.com/OttawaWebPro/status/1356025793181347848,False,,0,,,,,,,,"[{'screen_name': 'S3Partners', 'name': 'S3 Partners', 'id': '2964381029'}]",,,,
1356023242239209474,1355267738462285830,2021-02-01 01:35:09 EET,2021-02-01,01:35:09,+0200,4926983873,kodascott1,Ellie Scott,,"@twitone @MGreenWriting “Mansplaining” is an overused word, but this is the real thing. It almost reads like a spoof.",en,[],[],[],0,0,68,[],[],https://twitter.com/KodaScott1/status/1356023242239209474,False,,0,,,,,,,,"[{'screen_name': 'twitone', 'name': 'All lies matter Esq 🟥⛔️', 'id': '11048362'}, {'screen_name': 'MGreenWriting', 'name': 'Mark Green', 'id': '235138720'}]",,,,
1356019807582347269,1351132605253636100,2021-02-01 01:21:30 EET,2021-02-01,01:21:30,+0200,25851278,delindevon,del in devon,,"@CalistaHebburn That’s it I’m calling it, this is a spoof account.",en,[],[],[],3,0,11,[],[],https://twitter.com/delindevon/status/1356019807582347269,False,,0,,,,,,,,"[{'screen_name': 'CalistaHebburn', 'name': 'calista hebburn', 'id': '1261956206807126016'}]",,,,
1356019603290386433,1356002770428559364,2021-02-01 01:20:41 EET,2021-02-01,01:20:41,+0200,4186306797,ian_politic,Ian Politics ●,,@just_j0 @ChrissieGrech @andreajenkyns Took me a while to realise that isn't the spoof account,en,[],[],[],1,0,15,[],[],https://twitter.com/Ian_Politic/status/1356019603290386433,False,,0,,,,,,,,"[{'screen_name': 'just_j0', 'name': 'JoJeffers 💙', 'id': '261812190'}, {'screen_name': 'ChrissieGrech', 'name': 'Chrissie💙 Grech (v)', 'id': '39496081'}, {'screen_name': 'andreajenkyns', 'name': 'Andrea Jenkyns MP', 'id': '1350441445'}]",,,,
1356012538241155074,1117153881887256576,2021-02-01 00:52:37 EET,2021-02-01,00:52:37,+0200,40584895,cameronyardejnr,Cameron Yarde Jnr,,"BBC1's Summer Saturday morning kid's show On The Waterfront had a banger of a theme. It had comedy sketches &amp; was funny! Also famous for a redubbed spoof Flashing Blade written by Russell T Davies. Andrew O'Connor, Bernadette Nolan, Kate Copstick &amp; Terry Randall hosted this one.  https://t.co/pm0gA11sJe",en,[],[],[],5,5,16,[],[],https://twitter.com/CameronYardeJnr/status/1356012538241155074,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1356012389288849412/pu/img/4tWvtHVa2JppeOaP.jpg,,,,,,,[],,,,
1356012491541782528,1356012491541782528,2021-02-01 00:52:26 EET,2021-02-01,00:52:26,+0200,112599205,madhatterguide,Younger lives are not worth less than older lives,,This spoof video promoting why Scotland should join England to create the UK is ridiculous...yet all so true too.,en,[],[],[],3,62,75,[],[],https://twitter.com/MadHatterGuide/status/1356012491541782528,False,https://twitter.com/PhantomPower14/status/1355943886775083011,0,,,,,,,,[],,,,
1356000309995204615,1355978801835081731,2021-02-01 00:04:01 EET,2021-02-01,00:04:01,+0200,84909522,punkahoy,Edgar Cantero,,He was made to be a spoof of the archetypal Lovecraft hero (Lovecraft is the only author I know who saw heroic material in septuagenarian college professors). Akeley and Wilmarth are the main characters in 'The Whisperer in Darkness' (1931).   https://t.co/PFLEEDSZME,en,[],['https://twitter.com/GreenEydMomster/status/1355988838515003393?s=20'],[],1,0,6,[],[],https://twitter.com/punkahoy/status/1356000309995204615,False,https://twitter.com/GreenEydMomster/status/1355988838515003393?s=20,0,,,,,,,,[],,,,
1355990213382742018,1355990213382742018,2021-01-31 23:23:54 EET,2021-01-31,23:23:54,+0200,974775195889295360,jby_23,idkwhatimsayin...,,Spoof movies definitely went to shit,en,[],[],[],2,2,26,[],[],https://twitter.com/jby_23/status/1355990213382742018,False,,0,,,,,,,,[],,,,
1355981245595803649,1355981245595803649,2021-01-31 22:48:16 EET,2021-01-31,22:48:16,+0200,2455089758,littlegully14,littlegully(Aka King P) PARODY,,"I don’t know this dude I follow him cause I just followed everybody when I found out about fintwitt not to long ago  but stumbled onto this, what you say  @realJosephRich  @MemberSee  @HabanoRap  @QuickDCapital  @Danstringer74  @ekozie  @StealthQE4   Does it deserve a spoof?  https://t.co/b96nqfreLI",en,"[{'screen_name': 'realjosephrich', 'name': 'joe', 'id': '223520770'}, {'screen_name': 'membersee', 'name': 'g. kennedy fuld jr., cfa, mba, chea, frm', 'id': '1301981279005671424'}, {'screen_name': 'habanorap', 'name': 'william valentine (b/mf)', 'id': '1252068726087790592'}, {'screen_name': 'quickdcapital', 'name': 'quickdraw capital 🏴\u200d☠️🥯 ☕️', 'id': '1193383563967782912'}, {'screen_name': 'danstringer74', 'name': 'dan stringer, sec pimp', 'id': '24843079'}, {'screen_name': 'ekozie', 'name': '@eli_k_dot_swf', 'id': '18538818'}, {'screen_name': 'stealthqe4', 'name': 'qe infinity 🇺🇸', 'id': '1127721862455230464'}]",[],['https://pbs.twimg.com/media/EtFpwGQXAAAFTbm.jpg'],6,0,10,[],[],https://twitter.com/littlegully14/status/1355981245595803649,False,,1,https://pbs.twimg.com/media/EtFpwGQXAAAFTbm.jpg,,,,,,,[],,,,
1355970512569004032,1355884001366581293,2021-01-31 22:05:37 EET,2021-01-31,22:05:37,+0200,957037954190360576,evywallace,Evelyn Wallace,,@hamlinr1 Are you thinking what I’m thinking! Good! We should TOTALLY write a spoof letter of rec for a white man that uses ALL the genderized and racialized words! What are some others? This is gonna be fun!,en,[],[],[],2,0,60,[],[],https://twitter.com/EvyWallace/status/1355970512569004032,False,,0,,,,,,,,"[{'screen_name': 'hamlinr1', 'name': 'Rebecca Hamlin', 'id': '2784350226'}]",,,,
