id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364536350108712961,1364536350108712961,2021-02-24 13:23:12 EET,2021-02-24,13:23:12,+0200,28871197,jakeyoh,Jake Orr,,This from @NMHIBUIsHere demonstrates that its okay as an arts leader to show vulnerability in the unknown as she discusses programming at @NorthernStage.   Vulnerability is not weakness within a leader. Its strength.   https://t.co/otTigu3Mk5,en,"[{'screen_name': 'nmhibuishere', 'name': 'natalie mona ibu', 'id': '227662216'}, {'screen_name': 'northernstage', 'name': 'northernstage', 'id': '31719083'}]",['https://www.northernstage.co.uk/blog/this-is-us-right-now'],[],1,4,26,[],[],https://twitter.com/jakeyoh/status/1364536350108712961,False,,0,,,,,,,,[],,,,
1362102201385107463,1362102201385107463,2021-02-17 20:10:46 EET,2021-02-17,20:10:46,+0200,1238294543398834176,junkosu22993224,JunkoSuzuki,,"Chainlink Crypto researchers never sleep. They have discovered during an audit of $Link an unknown 0 Day vulnerability that could be used against target attacks by deleting system files. How much is the vulnerability worth to copy &amp; pasta $TRB, $ZAP $band $api3 $dia?",en,[],[],[],4,6,60,[],"['link', 'trb', 'zap', 'band', 'dia']",https://twitter.com/JunkoSu22993224/status/1362102201385107463,False,,0,,,,,,,,[],,,,
1361581677500387328,1361581668092493824,2021-02-16 09:42:23 EET,2021-02-16,09:42:23,+0200,9349172,craiu,Costin Raiu,,"8/9 Although the @ANSSI_FR report makes it clear the infection vector is unknown, the details suggest the attackers were more likely exploiting a vulnerability in the Centreon software rather than a supply chain attack. This vulnerability may have been closed in 2020.",en,"[{'screen_name': 'anssi_fr', 'name': 'anssi', 'id': '1150505682'}]",[],[],1,5,17,[],[],https://twitter.com/craiu/status/1361581677500387328,False,,0,,,,,,,,[],,,,
1360056160858984448,1360056160858984448,2021-02-12 04:40:32 EET,2021-02-12,04:40:32,+0200,1186086637442232321,gotomachiko,後藤まちこ,,132¾ &amp; 96.8 #まちこlbsと華氏に変換の朝 These two dresses are chosen for my debut at the Nakazakicho salon. The white sequin will probably be retired after that because of its potential vulnerability to laundry. The fate of the scarlet is unknown; it's difficult to wear it well.  https://t.co/6ucou6URwx,en,[],[],"['https://pbs.twimg.com/media/Et_j2WnVEAA6VO8.jpg', 'https://pbs.twimg.com/media/Et_j3nOUUAINIUP.jpg']",1,1,7,['まちこlbsと華氏に変換の朝'],[],https://twitter.com/GoToMachiko/status/1360056160858984448,False,,1,https://pbs.twimg.com/media/Et_j2WnVEAA6VO8.jpg,,,,,,,[],,,,
1360027130495725569,1360027130495725569,2021-02-12 02:45:10 EET,2021-02-12,02:45:10,+0200,1200631142749286400,brandontarot,Brandon’s Lobby,,"Libra ♎️   Commitment is knocking on your door haha, and I know you don’t wanna answer it. I feel like you’re in a chapter of vulnerability and you don’t know how to feel about it. The angst of the unknown is getting to you, let this tower fall. Embrace this. You’ll be rewarded.",en,[],[],[],1,12,113,[],[],https://twitter.com/BrandonTarot/status/1360027130495725569,False,,0,,,,,,,,[],,,,
1359538390543261698,1359538390543261698,2021-02-10 18:23:05 EET,2021-02-10,18:23:05,+0200,373145037,rcallahanwaco,"Robert G. Callahan, II⚖️",,Good morning @freedomsbride. It’s Wednesday. You saw the sunrise this morning. You’re here. Your voice is appreciated. Your vulnerability is inspiring. You are loved though you are hardly known. You are deeply known though you feel unknown. God’s grace on your day today. ❤️,en,"[{'screen_name': 'freedomsbride', 'name': 'hannah-kate (say it together)', 'id': '3142683507'}]",[],[],0,0,23,[],[],https://twitter.com/RCallahanWaco/status/1359538390543261698,False,,0,,,,,,,,[],,,,
1359366333486440453,1359366333486440453,2021-02-10 06:59:24 EET,2021-02-10,06:59:24,+0200,268052347,theophite,rev. howard arson,,"this has typically been what we have recommended, but in some applications (on-device or on-prem deployment), you have an unknown vulnerability horizon, and cannot recover the models you have stuck on billions of devices",en,[],[],[],2,0,10,[],[],https://twitter.com/Theophite/status/1359366333486440453,False,https://twitter.com/adversariel/status/1359364472809295873,0,,,,,,,,[],,,,
1357512918309474304,1357512918309474304,2021-02-05 04:14:35 EET,2021-02-05,04:14:35,+0200,1350303290,ronitshapiro,Ronit Shapiro,,"A2: Fear of the unknown, fear of failure, fear of vulnerability #AppleEDULeaderChat",en,[],[],[],1,1,11,['appleeduleaderchat'],[],https://twitter.com/RonitShapiro/status/1357512918309474304,False,https://twitter.com/kheiladunkerly/status/1357511762657034243,0,,,,,,,,[],,,,
1357186388458889216,1357186388458889216,2021-02-04 06:37:04 EET,2021-02-04,06:37:04,+0200,555188964,happybubbles15,Aninething,,"Situations I fear are rarely as bad as the fear itself.  --unknown  Today I am all about getting well, and I talk about my illness every day. The price of freedom is vulnerability. #mentalhealth #gratitude 🔆🙏🌻",en,[],[],[],0,0,7,"['mentalhealth', 'gratitude']",[],https://twitter.com/happybubbles15/status/1357186388458889216,False,,0,,,,,,,,[],,,,
1357065690553933826,1357065690553933826,2021-02-03 22:37:28 EET,2021-02-03,22:37:28,+0200,3060404986,classicii_mrmac,Mr. Macintosh,,"The CVE-2021-3156 vulnerability looks to be confirmed on macOS Big Sur 11.2 &amp; 11.3 Beta. To clarify, running the example code doesn't make a std user an admin. You need a working macOS exploit, but it's unknown if one is available. Sudo 1.8.2 was the 1st. 10.7 Lion has sudo 1.7.4",en,[],[],[],0,26,32,[],[],https://twitter.com/ClassicII_MrMac/status/1357065690553933826,False,https://twitter.com/patrickwardle/status/1356792328564826114,0,,,,,,,,[],,,,
1356677122690076674,1356663261123534855,2021-02-02 20:53:26 EET,2021-02-02,20:53:26,+0200,3407574046,grumpybill147,"🇬🇧Grumpy Bill ""No Votes SNP"" 4649 on a list",,@BreesAnna The vaccine supresses the immune system for at least 7 days during which time there is extreme vulnerability. The Government are so eager for everyone to be vaccinated with an untested vaccine produced for an unprecedented virus. Side effects as yet unknown! Good luck!,en,[],[],[],24,19,94,[],[],https://twitter.com/grumpybill147/status/1356677122690076674,False,,0,,,,,,,,"[{'screen_name': 'BreesAnna', 'name': 'Anna Brees', 'id': '702798054357909504'}]",,,,
1356604047671898112,1356604047671898112,2021-02-02 16:03:04 EET,2021-02-02,16:03:04,+0200,785773563143827456,cdpred_support,CD PROJEKT RED CS,,"If you plan to use @CyberpunkGame mods/custom saves on PC, use caution. We've been made aware of a vulnerability in external DLL files the game uses which can be used to execute code on PCs. Issue will be fixed ASAP. For now, please refrain from using files from unknown sources.",en,"[{'screen_name': 'cyberpunkgame', 'name': 'cyberpunk 2077', 'id': '821102114'}]",[],[],371,590,6564,[],[],https://twitter.com/CDPRED_Support/status/1356604047671898112,False,,0,,,,,,,,[],,,,
1355140175236620290,1355140175236620290,2021-01-29 15:06:09 EET,2021-01-29,15:06:09,+0200,956250134786002944,climateben,Ben See,,"Trees:  15% at risk of extinction.   15% not currently considered at risk.   70% status unknown, however 58% of all trees occur in a single country suggesting vulnerability to extinction threats of corporate deforestation, agriculture, logging, and mining. https://t.co/QyxuwO0nWI",en,[],['https://www.latestnigeriannews.com/news/4284501/at-least-15-percent-of-the-worlds-tree-species-are-under-threat-of-extinction.html'],[],2,41,48,[],[],https://twitter.com/ClimateBen/status/1355140175236620290,False,,0,,,,,,,,[],,,,
1354425439289270273,1354425439289270273,2021-01-27 15:46:03 EET,2021-01-27,15:46:03,+0200,1070043348344455170,yakuh1t0,yakuhito,,"Unknown: Hey, did you hear about the North Ko- Me: Look! A sudo vulnerability!  This post was made by the ""I didn't get targeted"" gang.",en,[],[],[],0,0,9,[],[],https://twitter.com/yakuh1t0/status/1354425439289270273,False,,0,,,,,,,,[],,,,
1354134742858420225,1354134742858420225,2021-01-26 20:30:55 EET,2021-01-26,20:30:55,+0200,2753035870,0xm1rch,Rich Mirch,,"Note this is not an exploit for CVE-2021-23240 (symlink vulnerability). This exploits a newly introduced vulnerability in the 1.9.5 symlink patch where sudoedit did not drop privs.  New vulnerability was fixed in 1.9.5p1. I did not discover it, just wrote an exploit. CVE unknown.",en,[],[],[],1,4,13,[],[],https://twitter.com/0xm1rch/status/1354134742858420225,False,https://twitter.com/TheHackersNews/status/1354104985185730560,0,,,,,,,,[],,,,
1347593780589948929,1347593780589948929,2021-01-08 19:19:29 EET,2021-01-08,19:19:29,+0200,18080969,tedx,TEDx,,"""We think about trust and vulnerability the way we think about standing on solid ground and leaping into the unknown. First we build trust, then we leap. But science is showing we’ve got it backward.""  https://t.co/LfXctO4Ox6",en,[],['http://t.ted.com/sRzALeC'],[],0,4,22,[],[],https://twitter.com/TEDx/status/1347593780589948929,False,,0,,,,,,,,[],,,,
1345897487714942995,1345897484934119426,2021-01-04 02:59:01 EET,2021-01-04,02:59:01,+0200,1040937541032194048,soignevenus,AIKA .,,within you to do something good for not only you but those that come after you. this requires deep shadow work + vulnerability. this week you are meant to feel everything. don’t hold back. learn how to accept the unknown and still love forward without fear. pay attention to your-,en,[],[],[],1,0,25,[],[],https://twitter.com/soignevenus/status/1345897487714942995,False,,0,,,,,,,,[],,,,
